ermolaev	Алексей Ермолаев. Известный и незнаемый	А. А. Ермолаев, Н. Ермолаева (составитель)	1959	2009	nonfiction essay		orth_norm
Шаркан	Шаркан	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Италмас (ансамбль)	Италмас (ансамбль)	Wikipedia	2010	2010	nonfiction,encyclopedia	2010.10.24	orth_norm
Юкаменск	Юкаменск	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Муско (история)	Муско (история)	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Киров карлэн историез	Киров карлэн историез	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Калашников, Михаил Тимофеевич	Калашников, Михаил Тимофеевич	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.11	orth_norm
Дэбес	Дэбес	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.11	orth_norm
Дэри черкогурт	Дэри черкогурт	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Ватка губерния	Ватка губерния	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Короленко, Владимир Галактионович	Короленко, Владимир Галактионович	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Екатеринбург	Екатеринбург	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Вавож	Вавож	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Екатеринбурглэн историез	Екатеринбурглэн историез	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Кузон	Кузон	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.10.27	orth_norm
Кузонлэн историез	Кузонлэн историез	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.15	orth_norm
Ленин, Владимир Ильич	Ленин, Владимир Ильич	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.04.24	orth_norm
Жуйков, Семён Прокопьевич	Жуйков, Семён Прокопьевич	Wikipedia	2010	2010	nonfiction,encyclopedia	2010.08.13	orth_norm
Куликов, Кузьма Иванович	Куликов, Кузьма Иванович	Wikipedia	2012	2012	nonfiction,encyclopedia	2012.12.22	orth_norm
Кулакова, Галина Алексеевна	Кулакова, Галина Алексеевна	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Удмурт дунне (газет)	Удмурт дунне (газет)	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Санкт-Петербург	Санкт-Петербург	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Кедра Митрей	Кедра Митрей	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Марисов, Валерий Константинович	Марисов, Валерий Константинович	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Коновалов, Михаил Алексеевич	Коновалов, Михаил Алексеевич	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Корепанов, Герман Афанасьевич	Корепанов, Герман Афанасьевич	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Маслюков, Юрий Дмитриевич	Маслюков, Юрий Дмитриевич	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Медведцев, Валерий Алексеевич	Медведцев, Валерий Алексеевич	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Мустаев, Александр Гаевич	Мустаев, Александр Гаевич	Wikipedia	2010	2010	nonfiction,encyclopedia	2010.10.24	orth_norm
Николай (Шкрумко)	Николай (Шкрумко)	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Красильников, Геннадий Дмитриевич	Красильников, Геннадий Дмитриевич	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Ложкин, Кузьма Алексеевич	Ложкин, Кузьма Алексеевич	Wikipedia	2012	2012	nonfiction,encyclopedia	2012.06.28	orth_norm
Ижмаш	Ижмаш	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.19	orth_norm
Ижсталь	Ижсталь	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.04.15	orth_norm
Удмуртская правда (газет)	Удмуртская правда (газет)	Wikipedia	2011	2011	nonfiction,encyclopedia	2011.01.30	orth_norm
Парин, Василий Николаевич	Парин, Василий Николаевич	Wikipedia	2010	2010	nonfiction,encyclopedia	2010.10.24	orth_norm
Лыткин, Василий Ильич	Лыткин, Василий Ильич	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Перевощикова, Александра Ивановна	Перевощикова, Александра Ивановна	Wikipedia	2010	2010	nonfiction,encyclopedia	2010.10.24	orth_norm
Петров, Михаил Петрович	Петров, Михаил Петрович	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Поскрёбышев, Олег Алексеевич	Поскрёбышев, Олег Алексеевич	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Напольских, Владимир Владимирович	Напольских, Владимир Владимирович	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Красильников, Алексей Геннадьевич	Красильников, Алексей Геннадьевич	Wikipedia	2012	2012	nonfiction,encyclopedia	2012.12.25	orth_norm
Лямин, Михаил Андреевич	Лямин, Михаил Андреевич	Wikipedia	2011	2011	nonfiction,encyclopedia	2011.01.26	orth_norm
Можга	Можга	Wikipedia	2014	2014	nonfiction,encyclopedia	2014.04.19	orth_norm
Корепанов-Камский, Геннадий Михайлович	Корепанов-Камский, Геннадий Михайлович	Wikipedia	2010	2010	nonfiction,encyclopedia	2010.10.24	orth_norm
Майер, Вильгельм Евгеньевич	Майер, Вильгельм Евгеньевич	Wikipedia	2012	2012	nonfiction,encyclopedia	2012.12.22	orth_norm
Загребин, Егор Егорович	Загребин, Егор Егорович	Wikipedia	2010	2010	nonfiction,encyclopedia	2010.10.24	orth_norm
Иванова, Маргарита Григорьевна	Иванова, Маргарита Григорьевна	Wikipedia	2010	2010	nonfiction,encyclopedia	2010.10.23	orth_norm
Ильин, Михаил Ильич	Ильин, Михаил Ильич	Wikipedia	2010	2010	nonfiction,encyclopedia	2010.10.24	orth_norm
Иднакар (гуӵин)	Иднакар (гуӵин)	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
ГТРК «Удмуртия» (радио)	ГТРК «Удмуртия» (радио)	Wikipedia	2010	2010	nonfiction,encyclopedia	2010.10.24	orth_norm
Атасгурӟон	Атасгурӟон	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Саранск	Саранск	Wikipedia	2014	2014	nonfiction,encyclopedia	2014.05.16	orth_norm
Мордовия	Мордовия	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Пужым	Пужым	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Аксакшур	Аксакшур	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.04.15	orth_norm
Рябинина, Зинаида Кирилловна	Рябинина, Зинаида Кирилловна	Wikipedia	2014	2014	nonfiction,encyclopedia	2014.04.26	orth_norm
Бадь видъёс	Бадь видъёс	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Кызьпу	Кызьпу	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.26	orth_norm
Антилопа	Антилопа	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Пужей	Пужей	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.08.25	orth_norm
Выль Монья	Выль Монья	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Удмурт Элькунысь Йӧскалык музей	Удмурт Элькунысь Йӧскалык музей	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.04.15	orth_norm
Удмурт Элькунысь Йӧскалык книга возённи	Удмурт Элькунысь Йӧскалык книга возённи	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.05.12	orth_norm
Палэзь	Палэзь	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Узы-Боры (фильм)	Узы-Боры (фильм)	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.05.03	orth_norm
Психотрия	Психотрия	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
Софронитис	Софронитис	Wikipedia	2013	2013	nonfiction,encyclopedia	2013.03.08	orth_norm
